Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2016,13367672,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2012,NY,1,4,CHEVR,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,1G1JC5SHXC4122060
2016,13367673,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2011,NY,1,6,JEEP,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,1J4RR4GGXBC723390
2016,13367674,PICKUP TRUCK,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2010,NY,1,8,CHEVR,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1GCSKSE35AZ201746
2016,13367675,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Right Turn,Not Entered,Southeast,Gas,2015,NY,1,4,TOYOT,HUMAN,Passing or Lane Usage Improper,HUMAN,Lost Consciousness,"Barrier, Collision With Fixed Object",2T1BURHE0FC457679
2016,13367676,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Stopped in Traffic,Not Entered,Northeast,Gas,2015,NY,1,4,CHEVR,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,2G11Z5SL1F9116149
2016,13367681,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2006,NY,1,4,CHEVR,HUMAN,Unsafe Speed,ENVMT,Pavement Slippery,Not Applicable,KL1TD66666B533488
2016,13367682,PICKUP TRUCK,COMMERCIAL,Going Straight Ahead,Not Entered,West,Diesel,2010,NY,2,8,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1FTWX3BR0AEA28579
2016,13367690,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2015,NY,1,6,CADIL,HUMAN,Driver Inattention/Distraction*,HUMAN,Not Applicable,Not Applicable,3GYFNEE32FS614538
2016,13367691,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2001,NY,1,6,ISUZU,HUMAN,Failure to Keep Right,ENVMT,Pavement Slippery,"Other Motor Vehicle, Collision With",4S2DM58W114321250
2016,13367692,BUS (OMNIBUS),INTERNATIONAL REGISTRATION,Going Straight Ahead,Not Entered,East,Diesel,2012,NY,9,6,VANHO,HUMAN,Not Applicable,HUMAN,Not Applicable,"Other Motor Vehicle, Collision With",YE2CC2AB7C2047850
2016,13367700,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2011,NY,1,6,ME/BE,ENVMT,Animal's Action,HUMAN,Not Applicable,Not Applicable,WDCGG8HB3BF630166
2016,13367701,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2011,NY,1,4,CHEVR,HUMAN,Traffic Control Device Disregarded,ENVMT,Glare,Not Applicable,1G1ZB5E16BF310761
2016,13367702,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,North,Gas,1995,NY,2,6,PONTI,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1G2HX52K6S4273020
2016,13367705,SUBURBAN,PASSENGER OR SUBURBAN,Changing Lanes,Not Entered,West,Gas,2012,NY,1,4,HYUND,HUMAN,Unsafe Lane Changing,HUMAN,Failure to Yield Right-of-Way,"Other Fixed Object*, Collision With Fixed Object",KM8JUCAC8CU451639
2016,13367707,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,West,Gas,2015,NY,1,4,NISSA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,5N1AT2MV6FC898488
2016,13367708,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Changing Lanes,Not Entered,Southeast,Gas,2000,NY,1,4,NISSA,HUMAN,Unsafe Lane Changing,HUMAN,Not Applicable,Not Applicable,1N4DL01D8YC220173
2016,13367709,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Left Turn,Not Entered,Southeast,Gas,2006,NY,2,4,HYUND,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,KMHDN46DX6U373211
2016,13367739,SUBURBAN,SPECIAL PASSENGER,Going Straight Ahead,Not Entered,South,Gas,2015,NY,1,4,BMW,HUMAN,Following Too Closely,HUMAN,Not Applicable,Not Applicable,5UXXW3C58F0M87803
2016,13367749,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2009,NY,1,4,TOYOT,HUMAN,Failure to Yield Right-of-Way,HUMAN,Not Applicable,Not Applicable,4T1BE46K59U356259
2016,13367750,SUBURBAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,South,Gas,2006,NY,1,6,JEEP,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1J4GL48K96W246127
2016,13367753,SUBURBAN,PASSENGER OR SUBURBAN,Making Right Turn,Not Entered,Northeast,Gas,2016,NY,1,4,HONDA,HUMAN,Failure to Yield Right-of-Way,HUMAN,Not Applicable,Not Applicable,2HKRM4H54GH602576
2016,13367754,4 DOOR SEDAN,PASSENGER OR SUBURBAN,Going Straight Ahead,Not Entered,East,Gas,2014,NY,1,6,ME/BE,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,WDDGF8AB2EA960181
2016,13367755,2 DOOR SEDAN,PASSENGER OR SUBURBAN,Making Right Turn,Not Entered,East,Gas,2002,NY,1,4,HONDA,HUMAN,Turning Improperly,HUMAN,Failure to Yield Right-of-Way,Not Applicable,1HGEM22562L096475
